code,marker,r,g,b
old_new_prompt,201,152,200,0
old_new_scale,202,168,200,0
1,203,184,200,0
2,204,200,200,0
3,205,216,200,0
4,206,232,200,0
5,207,248,200,0
6,208,8,216,0
source_prompt,209,24,216,0
source_scale,210,40,216,0
7,211,56,216,0
8,212,72,216,0
9,213,88,216,0
10,214,104,216,0
11,215,120,216,0
12,216,136,216,0
no_resp_screen,217,152,216,0
fixation,218,168,216,0
turnoff,1,24,8,0
pest,2,40,8,0
loser,3,56,8,0
captive,4,72,8,0
worthless,5,88,8,0
cynic,6,104,8,0
traitor,7,120,8,0
distress,8,136,8,0
jerk,9,152,8,0
selfish,10,168,8,0
bastard,11,184,8,0
disappointment,12,200,8,0
insulting,13,216,8,0
unwanted,14,232,8,0
gloom,15,248,8,0
filth,16,8,24,0
dull,17,24,24,0
lazy,18,40,24,0
failure,19,56,24,0
untrustworthy,20,72,24,0
victim,21,88,24,0
unsuccessful,22,104,24,0
terrible,23,120,24,0
pain,24,136,24,0
alone,25,152,24,0
inadequate,26,168,24,0
regret,27,184,24,0
bitterness,28,200,24,0
mess,29,216,24,0
irritating,30,232,24,0
garbage,31,248,24,0
annoying,32,8,40,0
irresponsible,33,24,40,0
stinky,34,40,40,0
unwelcome,35,56,40,0
phony,36,72,40,0
degenerate,37,88,40,0
heartbroken,38,104,40,0
reject,39,120,40,0
hesitation,40,136,40,0
sad,41,152,40,0
insecure,42,168,40,0
awkward,43,184,40,0
hypocrite,44,200,40,0
shame,45,216,40,0
anxiety,46,232,40,0
disaster,47,248,40,0
dropout,48,8,56,0
disgrace,49,24,56,0
scoundrel,50,40,56,0
grumpy,51,56,56,0
hardship,52,72,56,0
sloppy,53,88,56,0
creep,54,104,56,0
defect,55,120,56,0
slimy,56,136,56,0
embarrassed,57,152,56,0
overwhelmed,58,168,56,0
fraud,59,184,56,0
vermin,60,200,56,0
unforgivable,61,216,56,0
quitter,62,232,56,0
undesirable,63,248,56,0
burden,64,8,72,0
repulsive,65,24,72,0
slob,66,40,72,0
uninvited,67,56,72,0
menace,68,72,72,0
unemployed,69,88,72,0
peril,70,104,72,0
liar,71,120,72,0
terrified,72,136,72,0
vagrant,73,152,72,0
unreliable,74,168,72,0
emptiness,75,184,72,0
disgusting,76,200,72,0
outcast,77,216,72,0
gross,78,232,72,0
negligent,79,248,72,0
nauseous,80,8,88,0
parasite,81,24,88,0
hater,82,40,88,0
unfaithful,83,56,88,0
incompetent,84,72,88,0
unbearable,85,88,88,0
boring,86,104,88,0
inferior,87,120,88,0
rude,88,136,88,0
headache,89,152,88,0
copycat,90,168,88,0
tense,91,184,88,0
waste,92,200,88,0
idiot,93,216,88,0
fool,94,232,88,0
lunatic,95,248,88,0
miserable,96,8,104,0
pity,97,24,104,0
coward,98,40,104,0
immoral,99,56,104,0
dummy,100,72,104,0
entertainer,101,88,104,0
achievement,102,104,104,0
mentor,103,120,104,0
unity,104,136,104,0
smiley,105,152,104,0
merit,106,168,104,0
seeker,107,184,104,0
esteem,108,200,104,0
wealth,109,216,104,0
proficiency,110,232,104,0
bravery,111,248,104,0
lovable,112,8,120,0
goodwill,113,24,120,0
thinker,114,40,120,0
special,115,56,120,0
charm,116,72,120,0
carefree,117,88,120,0
charitable,118,104,120,0
witty,119,120,120,0
traveler,120,136,120,0
enthusiastic,121,152,120,0
ambition,122,168,120,0
partner,123,184,120,0
dependable,124,200,120,0
safe,125,216,120,0
excited,126,232,120,0
cleverness,127,248,120,0
champ,128,8,136,0
sophistication,129,24,136,0
smart,130,40,136,0
friend,131,56,136,0
romantic,132,72,136,0
relaxed,133,88,136,0
spirited,134,104,136,0
idealist,135,120,136,0
volunteer,136,136,136,0
respectful,137,152,136,0
hopeful,138,168,136,0
allure,139,184,136,0
progress,140,200,136,0
gentle,141,216,136,0
prize,142,232,136,0
dreamer,143,248,136,0
companion,144,8,152,0
excellence,145,24,152,0
affectionate,146,40,152,0
wellness,147,56,152,0
admired,148,72,152,0
healthy,149,88,152,0
humorous,150,104,152,0
energetic,151,120,152,0
attractive,152,136,152,0
spectacular,153,152,152,0
talented,154,168,152,0
unique,155,184,152,0
satisfied,156,200,152,0
value,157,216,152,0
devoted,158,232,152,0
expert,159,248,152,0
pleased,160,8,168,0
hugger,161,24,168,0
tolerance,162,40,168,0
learner,163,56,168,0
buff,164,72,168,0
easygoing,165,88,168,0
comfortable,166,104,168,0
fun,167,120,168,0
capable,168,136,168,0
honest,169,152,168,0
athlete,170,168,168,0
blissful,171,184,168,0
happy,172,200,168,0
graceful,173,216,168,0
zest,174,232,168,0
lucky,175,248,168,0
winner,176,8,184,0
wise,177,24,184,0
spontaneity,178,40,184,0
helper,179,56,184,0
adventurer,180,72,184,0
jolly,181,88,184,0
useful,182,104,184,0
peaceful,183,120,184,0
appeal,184,136,184,0
academic,185,152,184,0
visionary,186,168,184,0
optimist,187,184,184,0
creative,188,200,184,0
productive,189,216,184,0
passion,190,232,184,0
mercy,191,248,184,0
enjoyable,192,8,200,0
commitment,193,24,200,0
skilled,194,40,200,0
confident,195,56,200,0
delight,196,72,200,0
radiant,197,88,200,0
asset,198,104,200,0
perfect,199,120,200,0
vibrant,200,136,200,0